Date,Close
10/6/2016 16:00:00,43.68
10/7/2016 16:00:00,44.36
10/10/2016 16:00:00,43.73
10/11/2016 16:00:00,42.3
10/12/2016 16:00:00,42.39
10/13/2016 16:00:00,42.09
10/14/2016 16:00:00,42.82
10/17/2016 16:00:00,42.02
10/18/2016 16:00:00,42.48
10/19/2016 16:00:00,43.39
10/20/2016 16:00:00,43.15
10/21/2016 16:00:00,43.48
10/24/2016 16:00:00,43.86
10/25/2016 16:00:00,43.49
10/26/2016 16:00:00,43.03
10/27/2016 16:00:00,41.35
10/28/2016 16:00:00,40.84
10/31/2016 16:00:00,41.45
11/1/2016 16:00:00,40.78
11/2/2016 16:00:00,43.57
11/3/2016 16:00:00,40.41
11/4/2016 16:00:00,39.15
11/7/2016 16:00:00,40.15
11/8/2016 16:00:00,41.35
11/9/2016 16:00:00,40.58
11/10/2016 16:00:00,40.09
11/11/2016 16:00:00,39.66
11/14/2016 16:00:00,37.9
11/15/2016 16:00:00,39.92
11/16/2016 16:00:00,40.36
11/17/2016 16:00:00,42.02
11/18/2016 16:00:00,44.05
11/21/2016 16:00:00,44.89
11/22/2016 16:00:00,42.96
11/23/2016 16:00:00,43.05
11/25/2016 16:00:00,43.27
11/28/2016 16:00:00,42.49
11/29/2016 16:00:00,42.59
11/30/2016 16:00:00,41.67
12/1/2016 16:00:00,39.67
12/2/2016 16:00:00,39.05
12/5/2016 16:00:00,40.57
12/6/2016 16:00:00,40.9
12/7/2016 16:00:00,40.72
12/8/2016 16:00:00,42.63
12/9/2016 16:00:00,42.22
12/12/2016 16:00:00,42.04
12/13/2016 16:00:00,42.27
12/14/2016 16:00:00,41.75
12/15/2016 16:00:00,42.41
12/16/2016 16:00:00,42.05
12/19/2016 16:00:00,41.87
12/20/2016 16:00:00,41.42
12/21/2016 16:00:00,40.8
12/22/2016 16:00:00,40.17
12/23/2016 16:00:00,41.34
12/27/2016 16:00:00,43.64
12/28/2016 16:00:00,43.22
12/29/2016 16:00:00,43.1
12/30/2016 16:00:00,42.87
1/3/2017 16:00:00,42.82
1/4/2017 16:00:00,44.14
1/5/2017 16:00:00,47.68
1/6/2017 16:00:00,46.9
1/9/2017 16:00:00,47.18
1/10/2017 16:00:00,47.87
1/11/2017 16:00:00,48.33
1/12/2017 16:00:00,48.58
1/13/2017 16:00:00,48.1
1/17/2017 16:00:00,49.52
1/18/2017 16:00:00,49.98
1/19/2017 16:00:00,50.66
1/20/2017 16:00:00,50.09
1/23/2017 16:00:00,49.44
1/24/2017 16:00:00,49.42
1/25/2017 16:00:00,51.36
1/26/2017 16:00:00,51.01
1/27/2017 16:00:00,51.54
1/30/2017 16:00:00,50.7
1/31/2017 16:00:00,50.82
2/1/2017 16:00:00,51.19
2/2/2017 16:00:00,52.32
2/3/2017 16:00:00,52.12
2/6/2017 16:00:00,52.68
2/7/2017 16:00:00,53.13
2/8/2017 16:00:00,53.37
2/9/2017 16:00:00,54.61
2/10/2017 16:00:00,55.22
2/13/2017 16:00:00,56.05
2/14/2017 16:00:00,56.05
2/15/2017 16:00:00,60.61
2/16/2017 16:00:00,60.97
2/17/2017 16:00:00,61.52
2/21/2017 16:00:00,63.08
2/22/2017 16:00:00,63.59
2/23/2017 16:00:00,62.73
2/24/2017 16:00:00,61.75
2/27/2017 16:00:00,59.93
2/28/2017 16:00:00,59.21
3/1/2017 16:00:00,59.65
3/2/2017 16:00:00,59.67
3/3/2017 16:00:00,60.29
3/6/2017 16:00:00,59.32
3/7/2017 16:00:00,60.13
3/8/2017 16:00:00,60.91
3/9/2017 16:00:00,62.39
3/10/2017 16:00:00,64.15
3/13/2017 16:00:00,64.93
3/14/2017 16:00:00,63.83
3/15/2017 16:00:00,64.84
3/16/2017 16:00:00,64.99
3/17/2017 16:00:00,66.99
3/20/2017 16:00:00,68.86
3/21/2017 16:00:00,67.19
3/22/2017 16:00:00,66.71
3/23/2017 16:00:00,67.58
3/24/2017 16:00:00,68.98
3/27/2017 16:00:00,70.4
3/28/2017 16:00:00,72.37
3/29/2017 16:00:00,72.72
3/30/2017 16:00:00,69.05
3/31/2017 16:00:00,68.09
4/3/2017 16:00:00,69.23
4/4/2017 16:00:00,68.53
4/5/2017 16:00:00,67.89
4/6/2017 16:00:00,68.52
4/7/2017 16:00:00,68.71
4/10/2017 16:00:00,69.28
4/11/2017 16:00:00,69.06
4/12/2017 16:00:00,69.25
4/13/2017 16:00:00,70.63
4/17/2017 16:00:00,71.7
4/18/2017 16:00:00,71.58
4/19/2017 16:00:00,72.64
4/20/2017 16:00:00,76.06
4/21/2017 16:00:00,76.38
4/24/2017 16:00:00,75.83
4/25/2017 16:00:00,76.65
4/26/2017 16:00:00,74.12
4/27/2017 16:00:00,73.09
4/28/2017 16:00:00,75.95
5/1/2017 16:00:00,77.26
5/2/2017 16:00:00,82.98
5/3/2017 16:00:00,81.72
5/4/2017 16:00:00,81.35
5/5/2017 16:00:00,85.53
5/8/2017 16:00:00,86.78
5/9/2017 16:00:00,89.15
5/10/2017 16:00:00,93.06
5/11/2017 16:00:00,92.02
5/12/2017 16:00:00,93.58
5/15/2017 16:00:00,94.24
5/16/2017 16:00:00,94.93
5/17/2017 16:00:00,89.84
5/18/2017 16:00:00,92.11
5/19/2017 16:00:00,88.87
5/22/2017 16:00:00,89.6
5/23/2017 16:00:00,90.02
5/24/2017 16:00:00,90.81
5/25/2017 16:00:00,90.22
