Date,Close
10/6/2016 16:00:00,159.6
10/7/2016 16:00:00,159.92
10/10/2016 16:00:00,159.74
10/11/2016 16:00:00,155.48
10/12/2016 16:00:00,154.22
10/13/2016 16:00:00,151.36
10/14/2016 16:00:00,150.49
10/17/2016 16:00:00,146
10/18/2016 16:00:00,148.46
10/19/2016 16:00:00,148.16
10/20/2016 16:00:00,148.54
10/21/2016 16:00:00,150.17
10/24/2016 16:00:00,151.53
10/25/2016 16:00:00,149.82
10/26/2016 16:00:00,151.45
10/27/2016 16:00:00,149.65
10/28/2016 16:00:00,151.59
10/31/2016 16:00:00,153.83
11/1/2016 16:00:00,151.81
11/2/2016 16:00:00,146.82
11/3/2016 16:00:00,145.6
11/4/2016 16:00:00,148
11/7/2016 16:00:00,152.43
11/8/2016 16:00:00,152.93
11/9/2016 16:00:00,159.02
11/10/2016 16:00:00,151.91
11/11/2016 16:00:00,156.01
11/14/2016 16:00:00,156.45
11/15/2016 16:00:00,159.45
11/16/2016 16:00:00,160.43
11/17/2016 16:00:00,164.15
11/18/2016 16:00:00,161.35
11/21/2016 16:00:00,161.06
11/22/2016 16:00:00,139.73
11/23/2016 16:00:00,139.69
11/25/2016 16:00:00,141.51
11/28/2016 16:00:00,136.26
11/29/2016 16:00:00,133.58
11/30/2016 16:00:00,134.37
12/1/2016 16:00:00,129.62
12/2/2016 16:00:00,126.66
12/5/2016 16:00:00,128.95
12/6/2016 16:00:00,129.35
12/7/2016 16:00:00,129.37
12/8/2016 16:00:00,130.64
12/9/2016 16:00:00,130.07
12/12/2016 16:00:00,127.79
12/13/2016 16:00:00,129.24
12/14/2016 16:00:00,128.21
12/15/2016 16:00:00,129.01
12/16/2016 16:00:00,129.32
12/19/2016 16:00:00,128.44
12/20/2016 16:00:00,126.32
12/21/2016 16:00:00,126.11
12/22/2016 16:00:00,125.06
12/23/2016 16:00:00,127.4
12/27/2016 16:00:00,127.09
12/28/2016 16:00:00,124.97
12/29/2016 16:00:00,125.13
12/30/2016 16:00:00,125.05
1/3/2017 16:00:00,126.94
1/4/2017 16:00:00,128
1/5/2017 16:00:00,131.97
1/6/2017 16:00:00,135.05
1/9/2017 16:00:00,133.72
1/10/2017 16:00:00,134.68
1/11/2017 16:00:00,137.5
1/12/2017 16:00:00,136.36
1/13/2017 16:00:00,138.48
1/17/2017 16:00:00,138.45
1/18/2017 16:00:00,138.76
1/19/2017 16:00:00,141.92
1/20/2017 16:00:00,142.11
1/23/2017 16:00:00,140.84
1/24/2017 16:00:00,143.98
1/25/2017 16:00:00,146.12
1/26/2017 16:00:00,145.55
